Date,producer-price-index-yy united-states,consumer-price-index-yy united-states,ism-manufacturing-pmi united-states,ism-non-manufacturing-pmi united-states,consumer-confidence-index united-states,retail-sales-yy united-states,retail-sales-ex-autos-mm united-states,durable-goods-orders united-states,nonfarm-payrolls united-states,industrial-production-mm united-states,trade-balance united-states,housing-starts united-states,new-home-sales united-states,building-permits united-states,existing-home-sales united-states,unemployment-rate united-states,adp-nonfarm-employment-change united-states,ny-empire-state-manufacturing-index united-states,chicago-pmi united-states,capacity-utilization united-states,factory-orders united-states,durable-goods-orders-ex-transportation united-states,business-inventories-mm united-states,pce-price-index-mm united-states,core-pce-price-index-yy united-states,core-pce-price-index-mm united-states,average-hourly-earnings-mm united-states,fed-interest-rate-decision united-states,unemployment-rate switzerland,cpi-mm switzerland,cpi-yy switzerland,ppi-mm switzerland,ppi-yy switzerland,trade-balance switzerland,credit-suisse-economic-expectations switzerland,procurech-manufacturing-pmi switzerland,retail-sales-yy switzerland,USDCHF
2022-08,9.8,8.5,52.8,56.7,95.7,10.3,0.4,0.0,528.0,0.6,-79.614,1.446,0.511,1.674,4.81,3.5,128.0,-31.3,52.1,80.3,2.0,0.3,1.4,-0.1,4.6,0.1,0.5,2.5,2.2,0.0,3.4,-0.1,6.3,3.585,-57.2,58.0,1.2,0.9661999940872192
2022-07,11.3,9.1,53.0,55.3,98.7,8.5,1.0,1.9,372.0,-0.2,-85.546,1.559,0.59,1.685,5.12,3.6,128.0,11.1,56.0,80.0,1.6,0.3,1.4,1.0,4.8,0.6,0.3,2.5,2.2,0.5,3.4,0.3,6.9,3.803,-72.7,59.1,-1.6,0.9518120288848877
2022-06,10.8,8.6,56.1,55.9,106.4,8.1,0.5,0.7,390.0,0.2,-87.077,1.549,0.696,1.695,5.41,3.6,247.0,-1.2,60.3,79.0,0.3,0.7,1.2,0.6,4.7,0.3,0.3,1.75,2.2,0.7,2.9,0.9,6.9,3.116,-52.6,60.0,-6.0,0.9541800022125244
2022-05,11.0,8.3,55.4,57.1,107.3,8.2,0.6,0.4,428.0,1.1,-109.802,1.724,0.591,1.819,5.61,3.6,351.0,-11.6,56.4,79.0,2.2,0.3,2.0,0.2,4.9,0.3,0.3,1.0,2.2,0.4,2.5,1.3,6.7,4.127,-51.6,62.5,-6.6,0.9582300186157227
2022-04,11.2,8.5,57.1,58.3,107.2,6.9,1.1,0.8,431.0,0.9,-89.185,1.793,0.763,1.873,5.77,3.6,455.0,24.6,62.9,78.3,-0.5,1.1,1.5,0.9,5.2,0.3,0.4,0.75,2.2,0.6,2.4,0.8,6.1,2.988,-27.8,64.0,12.8,0.9746559858322144
2022-03,10.0,7.9,58.6,56.5,110.5,17.6,0.2,-2.2,678.0,0.5,-89.692,1.769,0.772,1.859,6.02,3.8,-301.0,-11.8,56.3,77.6,1.4,-0.6,1.1,0.6,5.4,0.4,0.0,0.5,2.2,0.7,2.2,0.4,5.8,5.954,9.0,62.6,5.1,0.9229699969291687
2022-02,9.7,7.5,57.6,59.9,113.8,13.0,3.3,1.6,467.0,1.4,-80.731,1.638,0.801,1.899,6.5,4.0,807.0,3.1,65.2,77.6,-0.4,0.7,2.1,0.6,5.2,0.5,0.7,0.375,2.3,0.2,1.6,0.6,5.4,3.177,9.5,63.8,5.8,0.926596999168396
2022-01,9.7,7.0,58.7,62.0,115.8,17.0,-2.3,-0.9,199.0,-0.1,-80.172,1.702,0.811,1.873,6.18,3.9,534.0,-0.7,63.1,76.5,1.6,0.4,1.3,0.4,4.9,0.5,0.6,0.25,2.4,-0.1,1.5,-0.1,5.1,3.693,0.0,62.7,1.2,0.9311299920082092
2021-12,9.6,6.8,61.1,69.1,109.5,18.2,0.3,2.5,210.0,0.5,-67.116,1.679,0.744,1.712,6.46,4.2,571.0,31.9,61.8,76.8,1.0,0.8,1.2,0.6,4.7,0.5,0.3,0.25,2.5,0.0,1.5,0.5,5.8,6.161,-10.8,62.5,2.5,0.9136999845504761
2021-11,8.6,6.2,60.8,66.7,113.8,16.0,1.7,-0.5,531.0,1.6,-80.934,1.52,0.745,1.65,6.34,4.6,568.0,30.9,68.4,76.4,0.2,0.5,0.7,0.6,4.1,0.4,0.4,0.25,2.7,0.3,1.2,0.6,5.1,5.651,15.6,65.4,0.5,0.9228699803352356
2021-10,8.6,5.4,61.1,61.9,109.3,13.8,0.8,-0.4,194.0,-1.3,-73.252,1.555,0.8,1.589,6.29,4.8,374.0,19.8,64.7,75.2,1.2,0.4,0.6,0.4,3.6,0.3,0.6,0.25,2.8,0.0,0.9,0.2,4.5,5.052,25.7,68.1,-2.6,0.9150329828262329
2021-09,8.3,5.3,59.9,61.7,113.8,14.9,1.8,1.8,235.0,0.4,-70.051,1.615,0.74,1.728,5.88,5.2,330.0,34.3,66.8,76.4,0.4,0.2,0.5,0.4,3.6,0.3,0.6,0.25,2.9,0.2,0.9,0.7,4.4,5.056,-7.8,67.7,0.1,0.934249997138977
2021-08,7.8,5.4,59.5,64.1,129.1,15.8,-0.4,-0.1,943.0,0.9,-75.749,1.534,0.708,1.635,5.99,5.4,654.0,18.3,73.4,76.1,1.5,0.7,0.8,0.4,3.6,0.3,0.4,0.25,3.0,-0.1,0.7,0.5,3.3,5.246,42.8,71.1,2.8,0.9171800017356873
2021-07,7.3,5.4,60.6,60.1,127.3,18.0,1.3,0.8,850.0,0.4,-71.24,1.643,0.676,1.598,5.86,5.9,978.0,43.0,66.1,75.4,1.7,0.3,0.5,0.5,3.5,0.4,0.3,0.25,3.1,0.1,0.6,0.3,2.9,5.53,51.3,66.7,35.7,0.9050999879837036
2021-06,6.6,5.0,61.2,64.0,117.2,28.1,-0.7,2.3,559.0,0.8,-68.899,1.572,0.769,1.681,5.8,5.8,742.0,17.4,75.2,75.2,-0.6,0.3,-0.2,0.4,3.4,0.5,0.5,0.25,3.0,0.3,0.6,0.8,3.2,4.948,72.2,69.9,29.150000000000002,0.9208999872207642
2021-05,6.2,4.2,60.7,62.7,121.7,51.2,-0.8,-1.3,266.0,0.7,-74.448,1.569,0.863,1.76,5.85,6.1,629.5,24.3,72.1,74.9,1.1,1.0,0.3,0.6,3.1,0.7,0.7,0.25,3.1,0.2,0.3,0.7,1.8,3.837,68.3,69.5,22.6,0.9001100063323975
2021-04,4.2,2.6,64.7,63.7,109.7,27.7,8.4,0.5,916.0,1.4,-71.078,1.739,1.021,1.766,6.01,6.0,517.0,26.3,66.3,74.4,-0.8,1.6,0.5,0.5,1.8,0.4,-0.1,0.25,3.3,0.3,-0.2,0.6,-0.2,5.817,66.7,66.3,-0.5,0.9089999794960022
2021-03,2.8,1.7,60.8,55.3,91.3,6.3,-2.7,-1.1,379.0,-2.2,-68.213,1.421,0.775,1.682,6.22,6.2,174.0,17.4,59.5,73.8,2.6,-0.9,0.3,0.2,1.4,0.1,0.2,0.25,3.6,0.2,-0.5,0.0,-1.1,3.699,55.5,61.3,4.7,0.9416900277137756
2021-02,1.7,1.4,58.7,58.7,89.3,7.4,5.9,3.4,49.0,0.9,-66.613,1.58,0.923,1.881,6.69,6.3,-123.0,12.1,63.8,75.6,1.1,1.4,0.6,0.3,1.5,0.3,0.2,0.25,3.5,0.1,-0.5,0.3,-2.1,5.054,43.2,59.4,1.7,0.9081060290336609
2021-01,0.8,1.4,60.7,57.2,88.6,2.9,-1.4,0.2,-140.0,1.6,-68.142,1.669,0.842,1.709,6.76,6.7,307.0,3.5,59.5,74.5,1.0,0.7,0.5,0.4,1.5,0.3,0.8,0.25,3.4,-0.1,-0.8,0.5,-2.3,2.881,46.8,58.0,2.4,0.8906970024108887
2020-12,0.8,1.2,57.5,55.9,96.1,4.1,-0.9,0.9,245.0,0.4,-63.123,1.547,0.841,1.639,6.69,6.7,365.0,4.9,58.2,73.3,1.0,0.4,0.7,0.0,1.4,0.0,0.3,0.25,3.4,-0.2,-0.7,-0.1,-2.7,4.458,30.0,55.2,3.1,0.8815799951553345
2020-11,0.5,1.2,59.3,56.6,100.9,5.7,0.2,1.3,638.0,1.1,-63.862,1.53,0.999,1.545,6.85,6.9,557.0,6.3,61.1,72.8,1.1,1.3,0.7,0.0,1.4,0.0,0.1,0.25,3.3,0.0,-0.6,0.0,-2.9,3.861,2.3,52.3,2.5,0.904229998588562
2020-10,0.4,1.4,55.4,57.8,101.8,5.4,1.5,1.9,661.0,-0.6,-67.102,1.415,0.959,1.553,6.54,7.9,749.0,10.5,62.4,71.5,0.7,0.8,0.3,0.3,1.6,0.3,0.1,0.25,3.3,0.0,-0.8,0.1,-3.1,3.28,26.2,53.1,3.3,0.9176279902458191
2020-09,-0.2,1.3,56.0,56.9,84.8,2.6,0.7,0.4,1371.0,0.4,-63.556,1.416,1.011,1.47,6.0,8.4,167.0,17.0,51.2,71.4,6.4,0.4,0.1,0.3,1.4500000000000002,0.3,0.4,0.25,3.4,0.0,-0.9,-0.4,-3.5,3.583,45.6,51.8,4.1,0.919439971446991
2020-08,-0.4,1.0,54.2,58.1,92.6,2.7,1.9,11.2,1763.0,3.0,-50.695,1.496,0.901,1.495,5.86,10.2,2369.0,3.7,51.9,70.6,6.2,2.4,-1.1,0.3,1.3,0.3,0.2,0.25,3.3,-0.2,-0.9,0.1,-3.3,3.379,42.4,49.2,1.1,0.9035999774932861
2020-07,-0.8,0.6,52.6,57.1,98.1,1.1,7.3,7.3,4800.0,5.4,-54.601,1.186,0.776,1.241,4.72,11.1,-2760.0,17.2,36.6,68.6,8.0,3.3,-2.3,0.4,0.9,0.2,-1.2,0.25,3.3,0.0,-1.3,0.5,-3.5,3.216,48.7,41.9,6.6,0.9085000157356262
2020-06,-0.8,0.1,43.1,45.4,86.6,-6.1,12.4,15.8,2509.0,1.4,-49.408,0.974,0.676,1.22,3.91,13.3,-20236.0,-0.2,32.3,64.8,-13.0,4.0,-1.3,0.1,1.0,0.1,-1.0,0.25,3.4,0.0,-1.3,-0.5,-4.5,2.801,31.3,42.1,0.5,0.9510499835014343
2020-05,-1.2,0.3,41.5,41.8,86.9,-21.6,-17.2,-17.2,-20500.0,-11.2,-44.415,0.891,0.623,1.074,4.33,14.7,-27.0,-48.5,35.4,64.9,-10.3,-7.4,-0.2,-0.5,1.0,-0.4,4.7,0.25,3.3,-0.4,-1.1,-1.3,-4.0,4.043,12.7,40.7,-5.6,0.9616000056266785
2020-04,0.7,1.5,49.1,52.5,120.0,-6.2,-4.5,-14.4,-701.0,-5.4,-39.932,1.216,0.627,1.353,5.27,4.4,183.0,-78.2,47.8,72.7,0.0,-0.2,-0.4,-0.3,1.7,-0.1,0.4,0.25,2.8,0.1,-0.5,-0.3,-2.7,4.02,-45.8,43.7,0.3,0.9739000201225281
2020-03,1.3,2.3,50.1,57.3,130.7,4.3,-0.4,1.2,273.0,0.6,-45.338,1.599,0.765,1.464,5.77,3.5,291.0,-21.5,49.0,77.0,-0.5,-0.6,-0.1,0.1,1.8,0.2,0.3,0.25,2.3,0.1,-0.1,-0.9,-2.1,3.573,7.7,49.5,-0.1,0.9599999785423279
2020-02,2.1,2.5,50.9,55.5,131.6,4.4,0.3,-0.2,225.0,-0.3,-48.88,1.567,0.764,1.551,5.46,3.6,202.0,12.9,42.9,76.8,1.8,0.9,0.1,0.1,1.6,0.1,0.2,1.0,2.3,-0.2,0.2,0.0,-1.0,4.777,8.3,47.8,0.1,0.9647009968757629
2020-01,1.3,2.3,47.2,55.0,126.5,5.8,0.7,2.4,145.0,-0.3,-43.086,1.608,0.694,1.416,5.54,3.5,67.0,4.8,48.9,77.0,-0.7,-0.1,-0.2,0.3,1.6,0.2,0.1,1.75,2.3,0.0,0.2,0.1,-1.7,1.964,12.5,50.2,0.7,0.9694100022315979
2019-12,1.1,2.1,48.1,53.9,125.5,3.3,0.1,-2.0,266.0,1.1,-47.199,1.365,0.719,1.482,5.35,3.5,96.0,3.5,46.3,77.3,0.3,0.0,0.2,0.2,1.6,0.1,0.2,1.75,2.3,-0.1,-0.1,-0.4,-2.5,3.915,-3.9,48.8,0.9,0.9686300158500671
2019-11,1.1,1.8,48.3,54.7,125.9,3.1,0.2,0.6,128.0,-0.8,-52.45,1.314,0.733,1.461,5.46,3.6,125.0,2.9,43.2,76.7,-0.6,0.6,0.0,0.2,1.6,0.1,0.2,1.75,2.3,-0.2,-0.3,-0.2,-2.4,3.497,-30.5,49.4,-1.4,0.9998840093612671
2019-10,1.4,1.7,47.8,52.6,125.1,4.1,-0.1,-1.1,136.0,-0.4,-54.896,1.256,0.701,1.387,5.38,3.5,195.0,4.0,47.1,77.5,-0.1,-0.3,0.0,0.0,1.7,0.0,0.0,1.75,2.3,-0.1,0.1,-0.3,-2.0,4.02,-15.4,44.6,1.4,0.989109992980957
2019-09,1.8,1.7,49.1,56.4,135.1,4.1,0.0,0.2,130.0,0.6,-53.989,1.364,0.713,1.419,5.49,3.7,148.5,2.0,50.4,77.9,1.4,0.5,0.4,0.0,1.8,0.1,0.4,2.0,2.3,0.0,0.3,-0.2,-1.9,1.588,-37.5,47.2,0.7,0.9908999800682068
2019-08,1.7,1.8,51.2,53.7,135.7,3.4,1.0,2.1,164.0,-0.2,-55.154,1.191,0.635,1.336,5.42,3.7,102.0,4.8,44.4,77.5,0.6,-0.4,0.0,0.2,1.6,0.2,0.3,2.125,2.3,-0.5,0.3,-0.1,-1.7,3.631,-24.0,44.7,-1.7,0.9898800253868103
2019-07,1.7,1.6,51.7,55.1,121.5,3.4,0.4,2.0,224.0,0.0,-55.52,1.253,0.646,1.22,5.27,3.7,27.0,4.3,49.7,77.9,-0.7,1.2,0.3,0.1,1.6,0.2,0.2,2.25,2.3,0.0,0.6,-0.5,-1.4,4.095,-30.0,47.7,-1.2,0.9897000193595886
2019-06,1.8,1.8,52.1,56.9,134.1,3.2,0.5,-1.3,75.0,0.4,-50.791,1.269,0.626,1.294,5.34,3.6,275.0,-8.6,54.2,78.1,-0.8,0.3,0.5,0.2,1.6,0.2,0.2,2.5,2.4,0.3,0.6,0.0,-0.8,3.411,-14.3,48.6,-0.7,0.9762899875640869
2019-05,2.2,2.0,52.8,55.5,129.2,3.1,0.1,-2.1,263.0,-0.5,-50.002,1.235,0.673,1.296,5.19,3.6,129.0,17.8,52.6,77.9,1.9,0.0,0.0,0.3,1.6,0.2,0.2,2.5,2.4,0.2,0.7,0.0,-0.6,2.294,-7.7,48.5,-0.2,1.0068999528884888
2019-04,2.2,1.9,55.3,56.1,124.1,3.6,1.2,2.7,196.0,-0.1,-49.382,1.139,0.692,1.269,5.21,3.8,183.0,10.1,58.7,78.8,-0.5,0.4,0.3,0.2,1.6,0.0,0.1,2.5,2.4,0.5,0.7,0.3,-0.2,3.179,-26.9,50.3,-0.4,1.0192999839782715
2019-03,1.9,1.5,54.2,59.7,131.4,2.3,0.9,0.4,20.0,0.1,-51.149,1.162,0.667,1.296,5.51,3.8,198.0,3.7,64.7,78.2,0.1,-0.1,0.6,-0.1,1.8,0.1,0.4,2.5,2.4,0.4,0.6,0.2,-0.7,3.126,-16.6,55.4,-0.3,0.9945600032806396
2019-02,2.0,1.6,56.6,56.7,120.2,2.3,-1.8,1.2,304.0,-0.6,-49.313,1.078,0.662,1.326,4.94,4.0,213.0,8.8,56.7,78.2,0.1,0.1,-0.1,-0.033333333333333326,1.8333333333333333,0.1,0.1,2.5,2.4,-0.3,0.6,-0.7,-0.5,3.043,-44.0,54.3,-0.5,1.000499963760376
2019-01,2.5,1.9,54.1,57.6,128.1,3.25,-0.8,1.0,312.0,0.3,-52.4005,1.167,0.657,1.327,4.99,3.9,179.0,3.9,65.4,78.7,-1.0,-0.09999999999999998,0.25,0.03333333333333334,1.8666666666666667,0.1,0.4,2.5,2.4,-0.3,0.7,-0.6,0.6,1.898,-22.2,57.8,0.8,0.9934999942779541
2018-12,2.5,2.2,59.3,60.7,135.7,4.2,0.2,0.8,155.0,0.6,-55.488,1.256,0.6005,1.328,5.32,3.7,203.0,10.9,66.4,78.5,-2.1,-0.3,0.6,0.1,1.9,0.1,0.2,2.5,2.4,-0.3,0.9,-0.3,1.4,4.737,-42.3,57.7,-2.7,0.9836000204086304
2018-11,2.9,2.5,57.7,60.3,137.9,4.6,0.7,-4.4,250.0,0.1,-54.019,1.228,0.544,1.263,5.22,3.7,227.0,23.3,58.4,78.4,0.7,0.1,0.3,0.2,1.8,0.1,0.2,2.25,2.5,0.2,1.1,0.2,2.3,3.749,-39.1,57.4,0.4,0.9958999752998352
2018-10,2.6,2.3,59.8,61.6,138.4,4.7,-0.1,0.8,134.0,0.3,-53.237,1.201,0.553,1.241,5.15,3.7,163.0,21.1,60.4,78.1,2.3,0.1,0.5,0.1,2.0,0.2,0.3,2.25,2.5,0.1,1.0,-0.2,2.6,2.434,-30.8,59.7,-0.3,1.0049999952316284
2018-09,2.8,2.7,61.3,58.5,133.4,6.6,0.3,4.5,201.0,0.4,-50.082,1.282,0.629,1.229,5.34,3.9,219.0,19.0,63.6,78.1,-0.8,0.1,0.6,0.1,2.0,0.0,0.4,2.25,2.6,0.0,1.2,0.0,3.4,2.134,-14.3,64.8,0.3,0.9817299842834473
2018-08,3.3,2.9,58.1,55.7,127.4,6.4,0.6,-1.7,157.0,0.1,-46.348,1.168,0.627,1.311,5.34,3.9,177.0,25.6,65.5,78.1,0.7,0.2,0.1,0.1,2.0,0.2,0.3,2.0,2.6,-0.2,1.2,0.1,3.6,2.256,-4.0,61.9,-0.1,0.9685999751091003
2018-07,3.4,2.9,60.2,59.1,126.4,6.6,0.4,1.0,213.0,0.6,-43.053,1.173,0.631,1.273,5.38,4.0,190.5,22.6,64.1,78.0,0.4,0.4,0.4,0.1,1.9,0.1,0.2,2.0,2.6,0.0,1.1,0.2,3.5,2.591,8.0,61.6,1.05,0.9880800247192383
2018-06,3.1,2.8,58.7,58.6,128.0,5.9,0.9,-0.6,223.0,-0.1,-46.199,1.35,0.689,1.301,5.43,3.8,204.0,25.0,62.7,77.9,-0.8,-0.3,0.3,0.2,2.0,0.2,0.3,2.0,2.6,0.4,1.0,0.2,3.2,2.76,28.0,62.4,2.2,0.9899299740791321
2018-05,2.6,2.5,57.3,56.8,128.7,4.7,0.3,-1.7,164.0,0.7,-48.956,1.287,0.662,1.352,5.46,3.9,241.0,20.1,57.6,78.0,1.6,0.9,0.0,0.2,1.8,0.2,0.1,1.75,2.7,0.2,0.8,0.4,2.7,2.29,7.2,63.6,-0.2,0.9885799884796143
2018-04,3.0,2.4,59.3,58.8,127.7,4.5,0.2,2.6,103.0,0.5,-57.591,1.319,0.694,1.354,5.6,4.1,235.0,15.8,57.4,78.0,1.2,0.0,0.6,0.0,1.9,0.2,0.3,1.75,2.9,0.4,0.8,-0.2,2.0,1.768,16.7,60.3,-1.4,0.9881100058555603
2018-03,2.8,2.2,60.8,59.5,130.8,4.0,0.2,3.1,313.0,1.1,-56.601,1.236,0.618,1.298,5.54,4.1,234.5,22.5,61.9,78.1,-1.4,1.2,0.6,0.2,1.6,0.2,0.1,1.75,2.9,0.4,0.7,0.3,2.3,3.138,25.8,65.5,0.6,0.9539099931716919
2018-02,2.7,2.1,59.1,59.9,125.4,3.6,0.0,-3.7,200.0,-0.1,-53.118,1.326,0.593,1.396,5.38,4.1,234.0,13.1,65.7,77.5,1.7,-0.3,0.4,0.15000000000000002,1.55,0.2,0.3,1.625,3.0,-0.1,0.7,0.3,1.8,2.095,34.5,65.3,-0.2,0.9393600225448608
2018-01,2.6,2.1,59.7,55.9,122.1,5.4,0.4,2.9,148.0,0.9,-50.497,1.192,0.625,1.302,5.57,4.1,190.0,17.7,67.6,77.9,1.3,0.6,0.4,0.1,1.5,0.2,0.3,1.5,3.0,0.0,0.8,0.2,1.8,2.632,52.0,65.2,-0.30000000000000004,0.9345899820327759
2017-12,3.1,2.2,58.2,57.4,129.5,5.8,1.0,1.3,228.0,0.2,-48.731,1.297,0.733,1.298,5.81,4.1,235.0,18.0,63.9,77.1,-0.1,-0.1,-0.1,0.2,1.5,0.1,0.2,1.5,3.0,-0.1,0.8,0.6,1.8,2.633,40.7,65.1,-0.4,0.9740999937057495
2017-11,2.8,2.0,58.7,60.1,125.9,4.6,0.1,-1.2,261.0,0.9,-43.495,1.29,0.685,1.297,5.48,4.1,135.0,19.4,66.2,77.0,1.4,0.4,0.0,0.1,1.4,0.2,0.0,1.25,3.1,0.1,0.7,0.5,1.2,2.333,32.0,62.0,-0.2,0.9844499826431274
2017-10,2.6,2.2,60.8,59.8,119.8,4.4,1.0,2.2,-33.0,0.3,-42.395,1.127,0.667,1.215,5.39,4.2,156.5,30.2,65.2,76.0,1.2,0.7,0.7,0.4,1.3,0.1,0.5,1.25,3.1,0.2,0.7,0.5,0.8,2.918,28.0,61.7,-0.7,0.9947199821472168
2017-09,2.4,1.9,58.8,55.3,122.9,3.2,0.2,1.7,156.0,-0.9,-43.689,1.18,0.56,1.3,5.35,4.4,178.0,24.4,58.9,76.1,-3.3,0.2,0.2,0.2,1.3,0.1,0.1,1.25,3.2,0.0,0.5,0.3,0.6,2.173,25.0,61.2,1.5,0.9746299982070923
2017-08,1.9,1.7,56.3,53.9,121.1,4.2,0.5,-6.8,209.0,0.2,-43.642,1.155,0.571,1.223,5.44,4.3,158.0,25.2,58.9,76.7,3.0,0.5,0.5,0.1,1.4,0.1,0.3,1.25,3.2,-0.3,0.3,0.0,-0.1,3.511,34.7,60.9,-0.3,0.963699996471405
2017-07,2.0,1.6,57.8,57.4,118.9,2.8,-0.2,6.5,222.0,0.4,-46.507,1.215,0.61,1.254,5.52,4.4,253.0,9.8,65.7,76.6,-0.8,0.2,0.3,0.0,1.4,0.1,0.2,1.25,3.2,-0.1,0.2,-0.1,-0.1,2.813,20.7,60.1,-1.2,0.9691699743270874
2017-06,2.4,1.9,54.9,56.9,117.9,3.8,-0.3,-1.1,138.0,0.0,-47.617,1.092,0.61,1.168,5.62,4.3,177.0,19.8,59.4,76.6,-0.2,0.1,-0.2,-0.1,1.4,0.1,0.2,1.25,3.2,0.2,0.5,-0.3,0.1,3.4,30.8,55.6,2.1,0.955299973487854
2017-05,2.5,2.2,54.8,57.5,120.3,4.5,0.3,-0.7,211.0,1.0,-43.706,1.172,0.569,1.229,5.57,4.4,263.0,-1.0,58.3,76.7,0.2,-0.4,0.2,0.2,1.5,0.2,0.3,1.0,3.3,0.2,0.4,-0.2,0.8,1.968,22.2,57.4,0.6,0.9758399724960327
2017-04,2.3,2.4,57.2,55.2,125.6,5.2,0.0,0.7,98.0,0.5,-43.557,1.215,0.621,1.26,5.71,4.5,298.0,5.2,57.7,76.1,1.0,-0.2,0.3,0.15000000000000002,1.65,0.2,0.2,1.0,3.3,0.2,0.6,0.1,1.3,3.101,29.6,58.6,-1.4,0.994189977645874
2017-03,2.2,2.7,57.7,57.6,114.8,5.7,0.2,1.7,235.0,0.0,-48.5,1.288,0.592,1.213,5.48,4.7,246.0,16.4,57.4,75.4,1.2,0.4,0.3,0.1,1.8,0.2,0.2,1.0,3.3,0.5,0.6,-0.2,1.3,3.3,19.4,57.8,-3.5,1.000440001487732
2017-02,1.6,2.5,56.0,56.5,111.8,5.6,0.8,1.8,227.0,-0.3,-44.3,1.246,0.555,1.285,5.69,4.8,153.0,18.7,50.3,75.3,1.3,-0.2,0.4,0.15000000000000002,1.75,0.15000000000000002,0.1,0.75,3.3,0.0,0.3,0.4,0.8,4.73,18.5,54.6,0.9,1.009469985961914
2017-01,1.6,2.1,54.7,57.2,113.7,4.1,0.2,-0.4,156.0,0.8,-45.2,1.226,0.536,1.21,5.49,4.7,184.5,6.5,54.6,75.5,-2.4,0.5,0.7,0.2,1.7,0.1,0.4,0.75,3.3,-0.1,0.0,0.2,0.0,2.716,12.9,56.0,-0.5,0.9943600296974182
2016-12,1.3,1.7,53.2,57.2,107.1,3.8,0.2,-4.6,178.0,-0.4,-42.6,1.09,0.592,1.201,5.61,4.6,216.0,9.0,57.6,75.0,2.7,0.5,-0.2,0.0,1.6,0.0,-0.1,0.75,3.3,-0.2,-0.3,0.1,-0.6,3.636,8.9,56.6,-2.3,1.0197999477386475
2016-11,0.8,1.6,51.9,54.8,98.6,4.3,0.8,4.8,161.0,0.0,-36.44,1.323,0.563,1.229,5.6,4.9,154.0,1.5,50.6,75.3,0.3,1.0,0.1,0.2,1.7,0.1,0.4,0.5,3.3,0.1,-0.2,0.1,-0.2,2.678,5.2,54.7,-3.0,1.0116599798202515
2016-10,0.7,1.5,51.5,57.1,104.1,2.7,0.5,-0.1,156.0,0.1,-40.7,1.047,0.593,1.225,5.47,5.0,166.5,-6.8,54.2,75.4,0.2,0.2,0.2,0.2,1.7,0.1,0.2,0.5,3.3,0.1,-0.2,0.3,-0.1,4.374,2.7,53.2,-2.2,0.9873899817466736
2016-09,0.0,1.1,49.4,51.4,101.1,1.9,-0.1,0.0,151.0,-0.4,-39.47,1.142,0.609,1.139,5.33,4.9,179.0,-2.0,51.5,75.5,1.9,-0.4,0.0,0.1,1.7,0.2,0.1,0.5,3.4,-0.1,-0.1,-0.3,-0.4,3.025,-2.8,51.0,-3.9,0.9660999774932861
2016-08,-0.2,0.8,52.6,55.5,97.3,2.3,-0.3,4.4,255.0,0.7,-44.5,1.211,0.654,1.152,5.39,4.9,172.0,-4.2,55.8,75.9,-1.5,1.5,0.2,0.0,1.6,0.1,0.3,0.5,3.3,-0.4,-0.2,-0.1,-0.8,2.93,5.9,50.1,-1.6,0.9830899834632874
2016-07,0.3,1.0,53.2,56.5,98.0,2.7,0.7,-4.0,287.0,0.6,-41.14,1.189,0.592,1.153,5.57,4.9,173.0,0.6,56.8,75.4,-1.0,-0.5,0.2,0.1,1.6,0.15000000000000002,0.1,0.5,3.3,0.1,-0.4,0.1,-1.0,3.546,19.4,51.6,-1.9,0.9694399833679199
2016-06,-0.1,1.0,51.3,52.9,92.6,2.5,0.4,-2.2,38.0,-0.4,-37.4,1.164,0.551,1.138,5.53,4.7,156.0,6.0,49.3,74.9,1.9,-0.3,0.1,0.2,1.6,0.2,0.2,0.5,3.5,0.1,-0.4,0.4,-1.2,3.786,17.5,55.8,-1.3,0.9792699813842773
2016-05,0.0,1.1,50.8,55.7,94.2,3.0,0.8,3.4,160.0,0.7,-40.4,1.172,0.619,1.116,5.45,5.0,178.0,-9.0,50.4,75.4,1.1,0.4,0.4,0.3,1.6,0.2,0.3,0.5,3.5,0.3,-0.4,0.3,-2.4,2.504,11.5,54.7,-0.2,0.9912999868392944
2016-04,-0.1,0.9,51.8,54.5,96.2,1.7,0.2,0.8,215.0,-0.6,-47.06,1.089,0.511,1.086,5.33,5.0,200.0,9.6,53.6,74.8,-1.7,-0.2,-0.1,0.1,1.6,0.1,0.3,0.5,3.5,0.3,-0.9,0.0,-4.7,2.163,2.5,53.2,0.2,0.9596930146217346
2016-03,0.0,1.0,49.5,53.4,92.2,3.1,-0.1,-2.8,242.0,-0.5,-45.68,1.178,0.512,1.167,5.08,4.9,205.0,0.6,47.6,76.7,1.6,-1.0,0.1,-0.1,1.7,0.1,-0.1,0.5,3.4,0.2,-0.8,-0.6,-4.6,4.071,-5.9,51.6,-1.6,0.9649500250816345
2016-02,-0.2,1.4,48.2,53.5,98.1,3.4,0.1,4.9,151.0,0.9,-43.36,1.099,0.494,1.202,5.47,4.9,257.0,-16.6,55.6,77.1,-2.9,1.8,0.1,0.1,1.7,0.3,0.5,0.5,3.4,-0.4,-1.3,-0.4,-5.3,3.513,-3.0,50.0,-3.1,0.9966999888420105
2016-01,-1.0,0.7,48.2,55.3,96.5,2.2,-0.1,-5.1,292.0,-0.4,-42.4,1.149,0.544,1.232,5.46,5.0,217.0,-19.4,42.9,76.5,-0.2,-1.2,-0.2,0.05,1.5,0.2,0.0,0.5,3.4,-0.4,-1.3,-0.4,-5.5,2.544,16.6,52.1,-0.8,1.0245000123977661
