Date,producer-price-index-yy european-union,consumer-price-index-yy european-union,markit-manufacturing-pmi european-union,markit-services-pmi european-union,consumer-confidence-indicator european-union,retail-sales-yy european-union,industrial-production-yy european-union,trade-balance european-union,unemployment-rate european-union,ecb-deposit-rate-decision european-union,zew-indicator-of-economic-sentiment european-union,ecb-interest-rate-decision european-union,labor-cash-earnings-yy japan,unemployment-rate japan,domestic-corporate-goods-price-index-mm japan,domestic-corporate-goods-price-index-yy japan,corporate-service-price-yy japan,national-consumer-price-index-yy japan,national-consumer-price-index-ex-fresh-food-yy japan,tokyo-consumer-price-index-yy japan,tokyo-consumer-price-index-ex-fresh-food-yy japan,m2-money-stock-yy japan,monetary-base-yy japan,adjusted-trade-balance japan,current-account-nsa japan,balance-of-payments japan,trade-balance japan,all-industry-activity-index-mm japan,capacity-utilization japan,tertiary-industry-activity-index-mm japan,household-spending-yy japan,large-retailers-sales-yy japan,retail-sales-mm japan,EURJPY
2015-06,-2.2,0.3,52.5,53.8,-5.6,2.2,0.8,24.3,11.1,-0.2,53.7,0.05,0.6,3.3,0.3,-2.1,0.6,0.5,0.1,0.3,0.1,4.0,35.6,-182.5,1326.4,-146.2,-216.0,-1.3,-0.4,-0.2,4.8,8.6,0.4,137.57699584960938
2015-05,-2.3,0.0,52.0,53.3,-5.5,1.6,1.8,19.7,11.2,-0.2,61.2,0.05,0.1,3.4,0.1,-2.1,0.7,0.6,0.3,0.5,0.2,3.6,35.2,-208.7,2795.3,671.4,-53.4,0.1,-1.2,-1.0,-1.3,-13.0,-1.9,135.70899963378906
2015-04,-2.8,0.0,51.9,53.7,-4.6,3.0,1.6,22.0,11.3,-0.2,64.8,0.05,0.5,3.5,0.3,0.7,3.2,2.3,2.2,0.7,0.4,3.6,35.2,3.3,1440.1,-143.1,229.3,1.9,-3.2,0.3,-10.6,1.3,-2.2,132.1999969482422
2015-03,-3.5,-0.1,51.9,54.3,-3.7,3.7,0.4,21.2,11.3,-0.2,62.4,0.05,1.3,3.6,0.0,0.5,3.3,2.2,2.0,2.3,2.2,3.5,36.7,-573.2,61.4,-864.2,-424.6,-0.3,3.6,0.7,-2.9,0.0,-1.9,129.95799255371094
2015-02,-2.6,-0.6,51.1,53.9,-6.7,3.1,0.6,23.3,11.3,-0.2,52.7,0.05,1.3,3.4,-1.3,0.3,3.5,2.4,2.2,2.3,2.2,3.4,37.4,-406.1,187.2,-395.6,-1177.5,0.0,2.0,0.0,-5.1,0.1,-0.4,133.85000610351562
2015-01,-1.6,-0.2,51.0,51.6,-8.5,1.6,-0.8,21.6,11.3,-0.2,45.2,0.05,0.7,3.5,-0.5,1.8,3.5,2.4,2.5,2.3,2.2,3.6,38.2,-620.7,433.0,-636.8,-660.7,-0.1,-0.8,0.2,-3.4,1.1,-0.2,132.57000732421875
2014-12,-1.3,0.3,50.1,51.1,-10.9,1.6,0.8,19.6,11.4,-0.2,31.8,0.05,0.1,3.5,-0.3,2.6,3.6,2.4,2.7,2.1,2.3,3.6,36.7,-925.0,833.4,-766.6,-891.9,1.0,0.7,-0.1,-2.5,0.0,-1.4,145.28799438476562
2014-11,-1.4,0.3,50.4,51.3,-11.5,0.5,0.5,17.9,11.5,-0.2,11.0,0.05,0.7,3.6,-0.8,2.9,3.6,2.9,2.9,2.1,2.4,3.2,36.9,-985.1,963.0,-714.5,-736.9,0.0,3.6,1.3,-4.0,0.5,2.7,147.77000427246094
2014-10,-1.4,0.4,50.7,52.4,-11.1,1.9,-0.5,15.4,11.5,-0.2,4.1,0.05,0.8,3.5,-0.1,3.6,3.5,3.2,3.0,2.5,2.5,3.1,35.3,-1070.1,287.1,-831.8,-958.3,-0.2,-1.7,-0.1,-5.6,1.6,1.9,137.70599365234375
2014-09,-1.3,0.3,50.5,52.8,-11.4,0.5,1.6,12.7,11.5,-0.16666666666666669,14.2,0.05,0.9,3.8,-0.2,3.9,3.5,3.3,3.1,2.8,2.6,3.0,40.5,-912.4,416.7,-828.1,-948.5,-0.4,-0.8,-0.3,-4.7,-0.6,-0.5,138.82000732421875
2014-08,-0.8,0.3,50.8,53.5,-10.0,1.9,0.2,13.8,11.5,-0.13333333333333333,23.7,0.15,0.95,3.7,0.3,4.3,3.4,3.4,3.3,2.8,2.7,3.0,42.7,-1021.8,-399.1,-537.1,-964.0,0.6,-3.3,0.0,-5.9,-1.8,0.5,136.7570037841797
2014-07,-1.0,0.4,51.9,54.4,-8.4,0.6,0.6,15.2,11.5,-0.1,48.1,0.15,1.0,3.5,0.2,4.6,3.7,3.6,3.3,2.8,2.8,3.0,42.6,-1067.8,522.8,-675.9,-822.2,-4.6,-0.7,0.9,-3.0,-1.2,4.6,137.75
2014-06,-1.2,0.5,51.9,53.2,-7.5,1.8,1.4,15.2,11.6,-0.08571428571428572,58.4,0.15,0.7,3.6,0.3,4.4,3.6,3.7,3.4,3.0,2.8,3.3,45.6,-862.2,187.4,-780.4,-910.8,1.5,-2.2,-5.7,-8.0,-6.7,-13.6,138.38999938964844
2014-05,-1.6,0.7,53.4,53.5,-7.1,1.0,0.2,15.2,11.8,-0.07142857142857144,55.2,0.25,0.29999999999999993,3.6,2.9,4.2,3.4,3.4,3.2,3.1,2.8,3.5,48.5,-880.5,116.4,-1133.6,-808.9,-1.1,0.4,2.4,-4.6,16.1,6.3,138.88888549804688
