Date,average-weekly-earnings-regular-pay united-kingdom,average-weekly-earnings-total-pay united-kingdom,claimant-count-change united-kingdom,unemployment-rate united-kingdom,cpi-yy united-kingdom,core-cpi-mm united-kingdom,core-cpi-yy united-kingdom,ppi-input-mm united-kingdom,ppi-input-yy united-kingdom,ppi-output-mm united-kingdom,ppi-output-yy united-kingdom,rpi-mm united-kingdom,rpi-yy united-kingdom,boe-interest-rate-decision united-kingdom,trade-balance united-kingdom,trade-balance-non-eu united-kingdom,public-sector-net-borrowing united-kingdom,industrial-production-mm united-kingdom,industrial-production-yy united-kingdom,manufacturing-production-mm united-kingdom,manufacturing-production-yy united-kingdom,markit-construction-pmi united-kingdom,brc-retail-sales-monitor-yy united-kingdom,index-of-services united-kingdom,retail-sales-mm united-kingdom,retail-sales-yy united-kingdom,rics-house-price-balance united-kingdom,unemployment-rate switzerland,cpi-mm switzerland,cpi-yy switzerland,ppi-mm switzerland,ppi-yy switzerland,trade-balance switzerland,credit-suisse-economic-expectations switzerland,procurech-manufacturing-pmi switzerland,retail-sales-yy switzerland,GBPCHF
2015-12,2.0,2.4,3.9,5.2,0.1,0.0,1.2,-1.6,-13.1,-0.2,-1.5,0.1,1.1,0.5,-11.827,-3.729,13.557,0.1,1.7,-0.4,-0.1,55.3,-0.4,0.5,1.7,5.0,49.0,3.4,-0.1,-1.4,0.4,-5.5,3.144,0.0,49.7,0.2,1.4637999534606934
2015-11,2.5,3.0,3.3,5.3,-0.1,0.3,1.1,0.2,-12.1,0.0,-1.3,0.0,0.7,0.5,-9.35,-2.08,7.47,-0.2,1.1,0.8,-0.6,58.8,-0.2,0.7,-0.6,3.8,49.0,3.4,0.1,-1.4,0.2,-6.6,4.156,18.3,50.7,-0.3,1.5492000579833984
2015-10,2.8,3.0,4.6,5.4,-0.1,0.1,1.0,0.6,-13.3,-0.1,-1.8,-0.1,0.8,0.5,-11.149,-3.765,8.628,1.0,1.9,0.5,-0.8,59.9,2.6,0.9,1.9,6.5,44.0,3.4,0.1,-1.4,-0.1,-6.8,3.047,9.7,49.5,-0.1,1.5249249935150146
2015-09,2.9,2.9,1.2,5.5,0.0,0.4,1.0,-2.4,-13.8,-0.4,-1.8,0.5,1.1,0.5,-11.082,-3.461,11.305,-0.4,0.8,-0.8,-0.5,57.3,-1.0,0.8,0.2,3.7,53.0,3.3,-0.2,-1.4,-0.7,-6.8,2.869,5.9,52.2,-0.9,1.4714000225067139
2015-08,2.8,2.4,-4.9,5.6,0.1,0.0,1.2,-0.9,-12.4,-0.1,-1.6,-0.1,1.0,0.5,-9.184,-1.62,-2.069,-0.4,1.5,0.2,0.5,57.1,1.2,0.7,0.1,4.2,44.0,3.3,-0.6,-1.3,-0.3,-6.4,3.741,-5.4,48.7,-1.8,1.4815000295639038
2015-07,2.8,3.2,7.0,5.6,0.0,0.1,0.8,-1.3,-12.6,0.0,-1.5,0.2,1.0,0.5,-8.0,-1.57,8.584,0.4,2.1,-0.6,1.0,58.1,1.8,0.4,-0.2,4.0,40.0,3.3,0.1,-1.0,-0.1,-6.1,3.578,0.1,50.0,1.6,1.5109299421310425
2015-06,2.7,2.7,-6.5,5.5,0.1,0.1,0.9,-0.9,-12.0,0.1,-1.6,0.2,1.0,0.5,-8.561,-2.094,9.35,0.4,1.2,-0.4,0.2,55.9,0.0,0.5,0.2,4.6,34.0,3.3,0.2,-1.2,-0.8,-6.0,3.433,-0.1,49.4,-2.8,1.4560999870300293
2015-05,2.2,1.9,-12.6,5.5,-0.1,0.3,0.8,0.4,-11.7,0.1,-1.7,0.4,0.9,0.5,-10.122,-3.163,6.038,0.5,0.7,0.4,1.1,54.2,-2.4,0.4,1.2,4.7,33.0,3.3,-0.2,-1.1,-2.1,-5.2,2.856,-23.2,47.9,-2.7,1.4443000555038452
2015-04,1.8,1.7,-20.7,5.6,0.0,0.2,1.0,0.3,-13.0,0.2,-1.7,0.2,0.9,0.5,-10.34,-3.238,6.741,0.1,0.1,0.4,1.1,57.8,3.2,0.7,-0.5,4.2,21.0,3.2,0.3,-0.9,0.2,-3.4,2.525,-37.9,47.9,-0.3,1.4502999782562256
2015-03,1.6,1.9,-29.1,5.7,0.0,0.5,1.2,0.1,-13.5,0.2,-1.7,0.5,1.0,0.5,-9.174,-1.968,4.801,-0.1,1.2,-0.6,1.7,60.1,0.2,0.8,0.6,5.4,15.0,3.2,-0.3,-0.8,-1.4,-3.6,2.316,-73.0,47.3,2.2,1.4324300289154053
2015-02,1.7,2.1,-38.6,5.7,0.3,-0.8,1.4,-3.6,-14.1,-0.4,-1.9,-0.8,1.1,0.5,-9.929,-3.143,-8.934,-0.2,0.8,0.1,2.6,59.1,0.2,0.8,0.1,5.9,7.0,3.2,-0.4,-0.5,-0.6,-2.7,3.433,-10.8,48.2,-1.2,1.4717999696731567
2015-01,1.8,1.8,-35.8,5.8,0.5,0.2,1.3,-3.3,-11.6,-0.3,-0.8,0.2,1.6,0.5,-9.283,-2.778,9.867,0.0,1.1,0.8,3.0,57.6,-0.4,0.8,0.4,4.3,12.0,3.2,-0.5,-0.3,-0.4,-2.1,3.614,-4.9,54.0,0.3,1.3862899541854858
2014-12,1.6,1.4,-29.6,6.0,1.0,-0.1,1.2,-0.7,-8.2,-0.2,-0.6,-0.2,2.0,0.5,-9.842,-3.505,11.728,-0.3,1.0,-0.7,1.7,59.4,0.9,0.7,1.6,6.4,13.0,3.2,0.0,-0.1,-0.7,-1.6,3.795,-7.6,52.1,0.5,1.5387300252914429
2014-11,1.2,1.0,-25.1,6.0,1.3,0.2,1.5,-1.5,-8.4,-0.3,-0.5,0.0,2.3,0.5,-10.506,-4.06,6.429,0.7,0.8,0.6,2.9,61.4,0.0,0.8,1.0,4.6,20.0,3.1,0.0,0.0,-0.1,-1.1,3.226,-30.7,55.3,1.4,1.5108000040054321
2014-10,0.9,0.7,-18.4,6.0,1.2,0.1,1.5,-0.6,-7.4,-0.2,-0.5,0.2,2.3,0.5,-8.95,-3.7,10.571,-0.1,2.2,0.2,4.0,64.2,-2.1,0.8,-0.4,2.3,30.0,3.2,0.1,-0.1,-0.1,-1.4,2.489,-7.7,50.4,-0.3,1.5296200513839722
2014-09,0.8,0.6,-33.2,6.2,1.5,0.5,1.9,-1.2,-7.7,-0.1,-0.3,0.4,2.4,0.5,-10.414,-4.755,10.883,0.4,2.2,0.3,3.5,64.0,1.3,1.0,0.4,3.7,39.0,3.2,0.0,0.1,-0.2,-1.2,1.331,2.5,52.9,3.3,1.5442999601364136
2014-08,0.7,-0.1,-37.4,6.4,1.6,-0.4,1.8,-1.7,-7.5,-0.1,-0.1,-0.1,2.5,0.5,-9.413,-3.841,-0.466,0.3,1.2,0.3,1.9,62.4,-0.3,1.0,0.0,2.5,48.0,3.2,-0.4,0.0,0.0,-0.8,3.901,0.1,54.3,-0.5,1.5241999626159668
